,Key,Topic,Substance,Class,Document
15,142_echinopsis pachanoi,142,echinopsis pachanoi,Serotonergic psychedelics,due to a different vendor the gel caps or that we had eaten fish curry shortly before ingesting the pills . i plan to try using doses of ' cactus sections
16,278_amanita muscaria,278,amanita muscaria,Dissociative psychedelics,i was also able to control feeling all over my body as these waves of time pulsated . it was like having some weird energy pulsing from head to toe and
17,230_echinopsis pachanoi,230,echinopsis pachanoi,Serotonergic psychedelics,ever made were necessary they were all part of the cure way is still very long you can not rest but be afraid in the right path you must live in
18,253_salvia divinorum,253,salvia divinorum,Other,i would end up . i could end up in a completely different life and time . the room i was in gave me no information as to what my life
19,242_alprazolam,242,alprazolam,Depressant / sedatives,sexy . thus i decided to go shopping for some xanax DATE . a relatively short acting benzodiazepine . ORG is the same drug that PERSON PERSON the niece of the
20,276_echinopsis peruviana,276,echinopsis peruviana,Serotonergic psychedelics,alerts about an hour and minutes later and after that it came on very very slowly . it did seem that strong at all until i got up and walked to
21,155_alprazolam,155,alprazolam,Depressant / sedatives,me . i went home immediately and took a half mg of ORG and a short nap . as soon as i woke up i was i addicted . i know
22,111_alprazolam,111,alprazolam,Depressant / sedatives,than three episodes per week and you so end alot of the rest of your time worrying about whether you going to have another one . it totally dominates your personal
23,152_salvia divinorum,152,salvia divinorum,Other,it was big for me . i held it in for what felt like a long time . my trick was to pretend i was then i was leaning forward so
24,221_salvia divinorum,221,salvia divinorum,Other,. i felt like i was losing grip and i tried to it . i slowly began to blend out of my surroundings . all of this was very and i
25,141_2c-e,141,2c-e,Serotonergic psychedelics,very off and intense why the hell did i want a bagel again i no longer know what i doing or what i was trying to do . i remember specifically
26,48_cocaine,48,cocaine,Stimulants,. cleaning is almost fun while on cocaine . and i spend a lot of time thinking really fast about what bugging me . sometimes it gets me really emotional but
27,4_psilocybin mushrooms,4,psilocybin mushrooms,Serotonergic psychedelics,door his parents behind him in his house . i took a look around and quickly realized i was naked and then the dreadful thought came to me . i suddenly
28,88_2c-b,88,2c-b,Serotonergic psychedelics,always said it was his favorite hallucinogen back in DATE DATE the one and only time he tried it many years ago but when we got it we were greatly surprised
29,201_psilocybin mushrooms,201,psilocybin mushrooms,Serotonergic psychedelics,abstinent . at the age of i tried ether once i had access for a short time found it too tempting to resist and took a whiff yes this was enough
30,182_nitrous oxide,182,nitrous oxide,Dissociative psychedelics,i had not done much research on it all i knew was that it was short and i took the can and breathed in the gas making sure not to let
31,68_nitrous oxide,68,nitrous oxide,Dissociative psychedelics,reality to view in my mind . i could separate the god perspective of unlimited infinity from my previous limited experience and the rise of infinite limited experiences that i was
32,56_psilocybin mushrooms,56,psilocybin mushrooms,Serotonergic psychedelics,if the dosage day fell on DATE DATE DATE all the better as i no longer had thoughts of being tired or giving into exhaustion . the second and third non
33,191_dxm,191,dxm,Dissociative psychedelics,was a baby again just able to walk i went upstairs crawling up each each slowly and eventually making it to the top this is in my old house i walk
34,184_dxm,184,dxm,Dissociative psychedelics,the one eye was just so lucky to see a large green eye come and slowly eat me until i died . i woke up about hours later and i felt
35,140_dxm,140,dxm,Dissociative psychedelics,addict reliant on it to feel any amount of normality . i have quit for periods up to DATE long and always relapsed into taking it every day or two again
36,139_mdma,139,mdma,Entactogens,ease with each other . at one point i became sad that this would all pass away and the euphoria and the warmth surrounding me were to be gone . i
37,131_mdma,131,mdma,Entactogens,waking i took my i in the past have found the onset to be very long and frustrating . from the time i take a pill to the time it affects
38,62_amt,62,amt,Serotonergic psychedelics,. luckily i was tired enough from having stayed up for hours that i just passed out . throughout DATE DATE DATE i was feeling off . i had missed a
39,121_dxm,121,dxm,Dissociative psychedelics,ethically . the problem with dxm addiction for me was firstly the vast amount of time that it soaked up and secondly the demotivation that it caused . i say i
40,275_mdma,275,mdma,Entactogens,me down and had me swallow it with chewing gum . the high came on slowly but it probably happened within an hour . i kept expecting flashing lights and hallucinations
41,28_mdma,28,mdma,Entactogens,taking one pill when i normally take at least two of anything . also my fast still feeling pretty close to baseline i getting some speedy feelings increased heart rate restlessness
42,197_clonazepam,197,clonazepam,Depressant / sedatives,my sisters wedding because i was low on k ' . so now years have passed i only take brand name and this habit costs about to dollars a month depending
43,208_amt,208,amt,Serotonergic psychedelics,same pattern of effects as the first experience the same booster dose and the same duration did not notice a strong building of tolerance on amt . althought this drug is
44,187_dxm,187,dxm,Dissociative psychedelics,is a great question to ask . the main point is that GPE was no longer a recreational psychedelic for me it had become a therapeutic spiritual a tool to help
45,110_dmt,110,dmt,Serotonergic psychedelics,breath under tunnels for no reason and now it a habit so i took a long breath in sucked on the teat of dmt until it hurt laid back and held
46,245_echinopsis pachanoi,245,echinopsis pachanoi,Serotonergic psychedelics,spilling some of it in the process . i drank . the effects came on quickly . my memory of the experience is a little hazy as it usually is for
47,39_psilocybin mushrooms,39,psilocybin mushrooms,Serotonergic psychedelics,. i noticed the tops of the trees seemed to be moving wiggling almost very quickly . i was sure if it was the wind making them do that so i
48,101_psilocybin mushrooms,101,psilocybin mushrooms,Serotonergic psychedelics,grams worth with a good dose of very tasteful herbal honey and chew hard and long adding a lot of saliva in the process . finally when i consider the chewing
49,260_psilocybin mushrooms,260,psilocybin mushrooms,Serotonergic psychedelics,of my body . a girl . i have a name yeah things came back slowly . i knew this guy next to me but it was hard to figure out
50,73_amphetamine,73,amphetamine,Stimulants,full body sneeze same feeling as an orgasm just to a lesser degree but just long lasting . creative thoughts are stimulated and sitting and just writing or drawing is incredibly
51,146_echinopsis pachanoi,146,echinopsis pachanoi,Serotonergic psychedelics,lies behind our perception veil ' my doors of perception had been closed for so long . therefore i decided i needed to myself ' . and since i was and
52,86_mdma,86,mdma,Entactogens,it going to be a huge embarrassment after finding the bathroom against all odds i quickly bashed my way into one of the stalls and vomited into the toilet . at
53,257_amphetamine,257,amphetamine,Stimulants,kill myself . how extreme it had gotten . i was suffering and i no longer wanted to . i felt i was going to die anyways . i told PERSON
54,202_lsd,202,lsd,Serotonergic psychedelics,rolling . finally after like minutes i finished it and after a few puffs i passed it to n and looked over at his yard . it was DATE so his
55,223_psilocybin mushrooms,223,psilocybin mushrooms,Serotonergic psychedelics,these fractals went on forever yet at the placeholder i did not focus on them long or deeply enough to experience that portal and its secrets . they did scare me
56,2_lsd,2,lsd,Serotonergic psychedelics,my room reassuring myself that everything was okay as it felt like been for an eternity . as soon as the next song began i fell back into my trance .
57,17_al-lad,17,al-lad,Serotonergic psychedelics,synthetics . its just on a slightly frequency like playing a song at a slightly faster speed making it sound a bit happier been laying down listening to music on my
58,91_heroin,91,heroin,Depressant / sedatives,of an inherited problem although i certainly can and have sugarcoated this and every other time i have shirked pain . i will stay a chipper on the edge of the
59,32_lsd,32,lsd,Serotonergic psychedelics,that ORG could be administered through the eye and that the onset would be much quicker . i decided to give it a try but could not find any liquid lsd
60,92_heroin,92,heroin,Depressant / sedatives,up a bill which i not even going to try to pay off as i slowly recovered and fully reinflated my lung . the insanity of heroin addiction is that the
61,30_salvia divinorum,30,salvia divinorum,Other,laughed a few times . for some reason i ca say it was like a time ' like smoking pot or dropping acid can be like . it way more of
62,160_5-meo-dipt,160,5-meo-dipt,Serotonergic psychedelics,but remained very aware of the situation s just stopped paying attention and sort of passed out d went on a insane rampage worse then any pcp story i heard of
63,263_diphenhydramine,263,diphenhydramine,Depressant / sedatives,road signs . i make the turn into my house and it feels like another long turn . i go inside my house and lay on my bed turning off all
64,70_1p-lsd,70,1p-lsd,Serotonergic psychedelics,loop of bad thoughts and engender a terrible trip . but at this point and time i felt the weight of paranoia and anxiety lift from my shoulders and allow me
65,247_5-meo-dipt,247,5-meo-dipt,Serotonergic psychedelics,marijuana and i decided to make a phone call . i had no idea what time it was and when my friend answer i assumed it was too i thought it
66,164_morning glory,164,morning glory,Serotonergic psychedelics,would have to go for help despite the shame for my wife and the possible time in jail or whatever . and i was still sure that help would be pain
67,3_2c-i,3,2c-i,Serotonergic psychedelics,seemed like we were smoking it at the placeholder and that it just lasted really long by the amount of coherent thoughts increased from about to and again i felt like
68,134_heroin,134,heroin,Depressant / sedatives,soul mate away from me right under my nose . my opiate use came on slowly and deceivingly my opiate use came on slowly and deceivingly as usual . i remember
69,185_5-meo-dmt,185,5-meo-dmt,Serotonergic psychedelics,amazing and mysterious tryptamine . i do feel like experimenting with it again in the short term not because of the fear and panic of the loss of control and identity
70,244_salvia divinorum,244,salvia divinorum,Other,this was the joke that the overseer was playing on me . the pages would slow down and the pictures would become clear i would then begin to relive past moments
71,78_5-meo-amt,78,5-meo-amt,Serotonergic psychedelics,may have brought it back . cousin left for basketball wow visuals are insane . time has moved to a pace . and then some . practically standing still . played
72,259_lsd,259,lsd,Serotonergic psychedelics,was tripping on liquid DATE DATE . just by chance . it took us a long time to reach the tree that was relatively close . the forest was just too
73,102_5-meo-amt,102,5-meo-amt,Serotonergic psychedelics,i munch one i starting getting signals that remind me of amphetamines an increaced typing pace and an overall increase in energy physical and deside to put on the headphones and
74,240_heroin,240,heroin,Depressant / sedatives,a serious girlfriend and was doing well at uni . it amazing in retrospect how long it took me to really fuck up my life . i survived second year although
75,272_codeine,272,codeine,Depressant / sedatives,do worry about that if you use ORG for this it will take a very long time for the pills to dissolve . i find that placing them in a plastic
76,190_5-htp,190,5-htp,Other,i was not worried about how much work i had to do or how much time i had to do it . time almost passed faster . at first i thought
77,25_salvia divinorum,25,salvia divinorum,Other,when you word it but when you experience it this feels pretty natural . my shorter trips with salvia happened this way . while part of my brain was in reality
78,249_hydrocodone,249,hydrocodone,Depressant / sedatives,did see anything but this did calm me down from the first sight . i hurried home after that and thoroughly searched my car for something that i could mistaken for
79,153_diphenhydramine,153,diphenhydramine,Depressant / sedatives,was a fucking scorpion and a big ass one too . i really had no time to respond to this because right then i see someone run down the stairs and
80,176_4-ho-mipt,176,4-ho-mipt,Serotonergic psychedelics,notice that i twitchy but it not really bothersome . i do think that lasted long . i been feeling quite sensitive to cold so i crank the heat and get
81,99_salvia divinorum,99,salvia divinorum,Other,mix salvia with your last little bit of cannabis to make it last a little longer . when smoking more amounts of the mixture i definitely feel the stony effects of
82,264_salvia divinorum,264,salvia divinorum,Other,blowing in the wind on his living room floor . his trip lasted a little longer this placeholder maybe close to we put the salvia away after that and i smoked
83,228_lsd,228,lsd,Serotonergic psychedelics,plunge into the birth experience . after a couple of hours of talking and a brisk walk i was given some pills to put me to sleep . it seemed to
84,75_mitragyna speciosa,75,mitragyna speciosa,Depressant / sedatives,woke up feeling sore and lost . fortunately or not the package arrived right on time and now i once again have my beloved kratom . i know that i have
85,27_heimia salicifolia,27,heimia salicifolia,Other,to go by the tracks even after the horn stopped meaning the train was no longer there . these are not auditory hallucinations to me but are simply the repeated hearing
86,280_salvia divinorum,280,salvia divinorum,Other,shape twisting in a infinite sequence that looped over and over for what seemed like eternity . it was very dreamlike but also very physical with the perception of being pulled
87,14_salvia divinorum,14,salvia divinorum,Other,the kitchen . because of the cannabis i smoked i never quite found out how long the persisted but it was clear i had achieved an extremely strong initial experience as
88,80_6-apb,80,6-apb,Entactogens,as though it was painted i could see PERSON in everything . back inside feeling slow and concentrated . drew two pictures both extremely intricate patterns filling up the entire page
89,216_echinopsis peruviana,216,echinopsis peruviana,Serotonergic psychedelics,got bad indication of trip becoming bad any point in the near future phenobarb no longer needed returned phenobarb would have rather had clonazepam or diazepam on hand to deal with
90,22_6-apb,22,6-apb,Entactogens,amazing just like the first placeholder doing mdma . it was so similar but more speedy which i absolutely loved things were getting bright fuzzy colorful . my body was getting
91,171_6-apb,171,6-apb,Entactogens,i would buy it again . meph is way better for my purposes with a duration is much more suitable to my lifestyle . just sticks around too long and offers
92,37_echinopsis peruviana,37,echinopsis peruviana,Serotonergic psychedelics,get high . they looked cool enough but we decided against it and let them pass by . after what seemed like hours at this bench we got up to go
93,226_lsd,226,lsd,Serotonergic psychedelics,good . it fixed a lot of mixed thoughts and feelings i had for a long time and i ca wait to do it again . i was a bit disappointed
94,219_5-meo-mipt,219,5-meo-mipt,Serotonergic psychedelics,no tracering . my torso feels very it is difficult to focus on anything for long . there is not much tactile enhancement but a strong head rush . i wonder
95,106_salvia divinorum,106,salvia divinorum,Other,maybe even before . i do even remember how many memories i revisited or how long they lasted and i ca remember any of them now except for bits and pieces
96,209_ethylphenidate,209,ethylphenidate,Stimulants,shaky however unnoticable to others and effects nothing other than very fine motor control the steady hand you may need for painting a model or measuring very small milligram doses .
97,147_2c-i,147,2c-i,Serotonergic psychedelics,more than before is the beauty of all states of mind . i took a long time and just cryed and sobbed for everything that has ever gotten me depressed in
98,271_5-meo-mipt,271,5-meo-mipt,Serotonergic psychedelics,i had tripped on anything at all . so i decided it was about damn time . i measured out on the my scale and dumped it into a shot glass
99,192_2c-d,192,2c-d,Serotonergic psychedelics,. along with these model trains were small children . making loud noises . we quickly tired of hearing them and walked towards a bathroom for we made it there and
100,181_fentanyl,181,fentanyl,Depressant / sedatives,placeholder as well . that the nice thing about fentanyl the effects come up pretty quickly though unfortunately it over soon as t the effect have increased in strength even more
101,115_gbl,115,gbl,Depressant / sedatives,tabs . the result was not good at work . i sweated profusely my heart rate rose to not good for customer service lol . i had pains in my left
102,193_morphine,193,morphine,Depressant / sedatives,tablets for breakthrough pain still . when i went to my doctor they upped the extended release or ORG tablets to . which seemed to prove more effective for the pain
103,194_morphine,194,morphine,Depressant / sedatives,from GPE to a morphine sulphate medication . i started on DATE DATE but quite quickly increased my dose to . i also quickly started to inject my dose DATE DATE
104,234_cocaine,234,cocaine,Stimulants,this all got started but it seems like too much has happened in such little time . in DATE DATE DATE DATE i have went from trying cocaine for the first
105,178_mitragyna speciosa,178,mitragyna speciosa,Depressant / sedatives,still tell no one . anyways i had an epiphany days ago and i took time off work to return to the same treatment program i attended for morphine . again
106,236_salvia divinorum,236,salvia divinorum,Other,but i knew that they were all attatched to the too . the idea was passed to me from somewhere that these people were the heads of the zippers that held
107,186_morphine,186,morphine,Depressant / sedatives,just work on what you would normally call a booring assignment . this mind set quickly lead to my taking of the morphine hcl on a DATE basis . still no
108,258_hash,258,hash,Depressant / sedatives,to me and they were stupid enough to do it . for DATE DATE DATE period i was taking upwards of of hydrocodone of alprazolam i liked the face on the
109,138_lsd,138,lsd,Serotonergic psychedelics,one gets you it will drive you to the point where your mind is no longer your own and there many people who have been mentally lost in this world .
110,132_lsd,132,lsd,Serotonergic psychedelics,right in front of me but they would stay in front of me for a long time and they would stretch real long too and once again in an instant with
111,77_lsd,77,lsd,Serotonergic psychedelics,also looked like i had broken out with a million tiny red pimples . i quickly removed myself from the mirror upon this at pm my younger brother who is came
112,7_anadenanthera peregrina,7,anadenanthera peregrina,Serotonergic psychedelics,to my heart and mind than i could even fathom . DATE DATE DATE has passed now and the wound is still as painful as DATE DATE she turned on me
113,239_mdma,239,mdma,Entactogens,riding home was easy alert focused . no wonder this shit has been popular with long haul truckers for DATE ' i thought . gives new meaning to days on the
114,67_mdma,67,mdma,Entactogens,and back into their places . i thought i had sobered up . many a time had my meth friends told me that the ' was the hardest part of the
115,33_cannabis spp.,33,cannabis spp.,Depressant / sedatives,to get home before i would . he did pay attention to me and kept passing the bowl around . we were all very very high at that point . normal
116,61_psilocybin mushrooms,61,psilocybin mushrooms,Serotonergic psychedelics,and sugar the tea was still kind of gross and that why we took so long . we saved the rest of it for later . the trip was not very
117,97_2c-e,97,2c-e,Serotonergic psychedelics,now he is the lizard prince holding a tea tray to the side of his long and lean reptile body . carousels of toy like pine tree branches live on their
118,12_psilocybin mushrooms,12,psilocybin mushrooms,Serotonergic psychedelics,ORG ORG effect of the first mushrooms went away i do nt know the exact time and it wo nt really matter to you if you try them after about another
119,71_cannabis spp.,71,cannabis spp.,Depressant / sedatives,up . i felt instantly stoned but not panicked . later on i had a fast heartbeat but i do think i was panicking as much as usual i just kind
120,126_dmt,126,dmt,Serotonergic psychedelics,to who said then it is beginning to cross the barrier . it was too fast . much too fast . i looked up at what a minute ago had been
121,49_psilocybin mushrooms,49,psilocybin mushrooms,Serotonergic psychedelics,then set down on the couch . by this placeholder approximately half an hour had passed since we had chugged the shrooms . no more the minutes had passed since sitting
122,207_cannabis spp.,207,cannabis spp.,Depressant / sedatives,to myself . i seemed to have stared at them for an awful lot of time because a friend asked me if i was okay . i was . in fact
123,59_methoxetamine,59,methoxetamine,Dissociative psychedelics,i inserted the needle into the anterolateral muscle pulled back for no blood and then slowly pushed down the all in ' i said as i laid back on the bed
124,200_mdma,200,mdma,Entactogens,was cycling normally my friend was worried that something might happen apparently i was very slow and clumsy . he might have had a point . but finally we made it
125,125_cannabis spp.,125,cannabis spp.,Depressant / sedatives,in a car with my friends and had consumed cans of lager over quite an extended period of time over an hour for sure . i was in no way feeling
126,34_cannabis spp.,34,cannabis spp.,Depressant / sedatives,DATE DATE DATE and was fairly excited as i had spent quite a bit of time on it . my other friend had his own weed and only of us were
127,281_psilocybin mushrooms,281,psilocybin mushrooms,Serotonergic psychedelics,up . the drive there was amazing it felt like the road was so much longer and took times as long . by this placeholder i was really starting to come
128,24_psilocybin mushrooms,24,psilocybin mushrooms,Serotonergic psychedelics,began to have fits of hysterical laughter . i tried to look away as they passed us which ended up being a little bit as we crossed a stream i felt
129,204_psilocybin mushrooms,204,psilocybin mushrooms,Serotonergic psychedelics,part of the experience . i felt helpless and very after what felt like the longest three hours i started to feel better . i began to warm up and feel
130,235_psilocybin mushrooms,235,psilocybin mushrooms,Serotonergic psychedelics,world around me but was also terrifying when i thought i would really die the long term effects are minimal but i do notice that i think about life a lot
131,64_caffeine,64,caffeine,Stimulants,DATE at the placeholder so i think i was accounting for a tolerance i no longer had or something my suspension was caffeine related too in any case soon we were
132,233_mdma,233,mdma,Entactogens,do to make ourselves feel better . there somthing we can turn to in our time of need . this is not a healthy way of dealing with our problems .
133,268_psilocybin mushrooms,268,psilocybin mushrooms,Serotonergic psychedelics,. i have learned that you must do this . the excess water seems to slow mushroom development even if the cakes do not touch the water . i suspect that
134,262_psilocybin mushrooms,262,psilocybin mushrooms,Serotonergic psychedelics,on . this is welcome . i do not need the lights for i no longer wish to see . i feel as though i seen enough . i overflowing .
135,11_psilocybin mushrooms,11,psilocybin mushrooms,Serotonergic psychedelics,wanted to do something and started becoming bored . i started to get worried about time and suddenly looked at the clock and noticed it was i started thinking i would
136,40_mdma,40,mdma,Entactogens,messed up . we go to different colleges and have seen each other for a long time . we still talk sometimes but do know what to do . this is
137,273_methoxetamine,273,methoxetamine,Dissociative psychedelics,could easily have been scary such as thinking i was going to die but they passed rather quickly i hate to end on a downer but if you have ever thought
138,57_psilocybin mushrooms,57,psilocybin mushrooms,Serotonergic psychedelics,somewhat reckless decision and i absolutely do not recommend doing this mushies can kick in fast . fortunatly he had just swallowed his and not held them in his cheeks so
139,248_psilocybin mushrooms,248,psilocybin mushrooms,Serotonergic psychedelics,originating there . as the experience progressed something very new occurred to me . my long embraced spirit teacher the PERSON became me . i became PERSON . suddenly i was
140,284_cannabis spp.,284,cannabis spp.,Depressant / sedatives,has happened in the past . i should also mention this is around my or time trying edibles . the only noticeable effects from my previous attempts were a slightly increased
141,148_dmt,148,dmt,Serotonergic psychedelics,if you do this kind of jumps you will be in the air for a long time . either it can go well and be unbelievable or it can go differently
142,222_dmt,222,dmt,Serotonergic psychedelics,. this dismayed me i wanted to know more but it was starting to be time for me to leave . i slid further and faster backwards until i felt as
143,103_dmt,103,dmt,Serotonergic psychedelics,shouting at the top of his lungs not going to catch a ride if i hurry . terence nasally voice intones from the beyond in doubt double the dose and always
144,213_mephedrone,213,mephedrone,Entactogens,i had not eaten in about hours PERSON and PERSON had not eaten in even longer . they both reported feeling a slight change in consciousness but nothing significant at this
145,130_dmt,130,dmt,Serotonergic psychedelics,sense whether dead or just permanently stuck out of as i started to catch glimpses passing by pieces of reality returning to my vision so too did i recognize the intense
146,220_psilocybin mushrooms,220,psilocybin mushrooms,Serotonergic psychedelics,. as pools of drool formed on the sheets i became worried that i would pass out and drown in it which i thought would be a really stupid way to
147,166_cannabis spp.,166,cannabis spp.,Depressant / sedatives,be baked ' so like the others i continued to inhale as the joints got passed around . as i sat in the back seat of the cramped car i started
148,1_mephedrone,1,mephedrone,Entactogens,i have a large amount of chemicals in my system i also noticed my heart rate was incredibly high but i care it felt way too good . i got out
149,72_psilocybin mushrooms,72,psilocybin mushrooms,Serotonergic psychedelics,trust myself because damn i did it it was a huge ego boost but a short one thank god . sadness came thoughts of being a fool for assuming that this
150,261_cannabis spp.,261,cannabis spp.,Depressant / sedatives,began to feel as though every few moments i was in a new frame of time and what happened before what i was immediately doing had happened long ago . this
151,137_mephedrone,137,mephedrone,Entactogens,compared to how i had felt before . after we talked for a little while longer after i freaked out i had put the mephedrone away up in my room so
152,89_cannabis spp.,89,cannabis spp.,Depressant / sedatives,the frenzy darkened to PERSON PERSON . i tried to imagine what one of these long abandoned ceremonies would have been like a medicine man solemnly wafting a sage brush to
153,36_psilocybin mushrooms,36,psilocybin mushrooms,Serotonergic psychedelics,. i decided not to eat much that day so the effects would set in quicker . after a trip to a guitar shop my friends and i decided it was
154,157_piper methysticum,157,piper methysticum,Depressant / sedatives,will be purchasing kava extract asap . am oop feeling a bit nauseous it passes quickly enough . i would never recommend disregarding ORG suggestion on intake of anything for other
155,23_dmt,23,dmt,Serotonergic psychedelics,sucked in all the white smoke from what was vaporized and held it a little longer and released the second he felt that awesome wave come on . again his hit
156,127_pcp,127,pcp,Dissociative psychedelics,be described as eating a magic marker ink cartridge except slightly more metallic . i passed the dip back to my supplier and looked up to the sky . the first
157,212_mephedrone,212,mephedrone,Entactogens,. concentrating is a bit harder than still getting a lot of energy resting heart rate of feeling very open and social without a loss of control over my actions or
158,119_cannabis spp.,119,cannabis spp.,Depressant / sedatives,without notice and then when i became aware of it i was unsure of how long i had been . my focus seemed to lock onto isolated quadrants . the plants
159,250_dmt,250,dmt,Serotonergic psychedelics,been working on extracting dmt from mhrb for DATE DATE DATE . it was a long process but mostly consisted of waiting and was not hard in the least bit .
160,129_cannabis spp.,129,cannabis spp.,Depressant / sedatives,when i finally did wake i still felt slightly wavey . it had been a long i tried it again a couple of times albeit in much smaller amounts to make
161,198_cannabis spp.,198,cannabis spp.,Depressant / sedatives,less than minutes . i do know why i did so much in so little time especially since i had only tried it a few times before . however in around
162,108_25i-nbome,108,25i-nbome,Serotonergic psychedelics,for the first ten minutes after having tucked the paper into my lip but this quickly plateaued and became subliminal . speaking to other members of the household was easy and
163,203_dmt,203,dmt,Serotonergic psychedelics,think it was like that rather i arrived at each chamber at each moment in time from a million different others at once and each moment would soon explode into a
164,43_psilocybin mushrooms,43,psilocybin mushrooms,Serotonergic psychedelics,way i started getting these sensations where my vision would zoom in and out extremely fast leaving me slightly disoriented but still no major effects . once at ORG ORG about
165,277_psilocybin mushrooms,277,psilocybin mushrooms,Serotonergic psychedelics,were smallish and . not a powerful appearance at all . we downed the cups quickly making ' faces . my other two friends PERSON and PERSON took two hits of
166,145_2c-e,145,2c-e,Serotonergic psychedelics,of tonifying effect more typical of mescaline . however i noted that an inability to pass this critical threshold regarding our own coex systems to borrow the term from grof produce
167,168_dmt,168,dmt,Serotonergic psychedelics,pleased . it was a useful tool and should only be done with plenty of time to spare and a prepared setting . later that night we went out and had
168,254_mdma,254,mdma,Entactogens,it was at the point where i felt like i always wanted it and the time i did nt but my body just remembered its feeling and wanted more i was
169,136_cannabis spp.,136,cannabis spp.,Depressant / sedatives,slice of time many times . i was trapped within the same seconds being repeated slowly inching forward as my mind was constantly trying to process what was happening . my
170,58_olanzapine,58,olanzapine,Antidepressants / antipsychotics,started cussing and yelling really loud at my friend and eventually got kicked out for period was history of movies so all we did in that class was watch movies ca
171,84_methoxetamine,84,methoxetamine,Dissociative psychedelics,because it lacks that perception . however it does things that ketamine can not lasts long enough to be fully enjoyed and is far more this however does give me a
172,231_25i-nbome,231,25i-nbome,Serotonergic psychedelics,grams i done shrooms lsd and under the tongue . very bitter and numb dissolved quickly . tongue felt very numb . noticed the early signs of the comeup . increasing
173,5_dpt,5,dpt,Serotonergic psychedelics,out of myself . the rest of the trip was just a very pleasant and slow come down . then at about hours when i was almost sane again i snorted
174,118_mdma,118,mdma,Entactogens,myself . its advisable to have a couple of lighters since they heat up very fast depending on the size of my foil pan i wan na replace it say every
175,238_psilocybin mushrooms,238,psilocybin mushrooms,Serotonergic psychedelics,the restroom we really decide on what . once the realization that we were no longer locked outside set in we swear we began to peak once more like the universe
176,52_dpt,52,dpt,Serotonergic psychedelics,the movie i needed to move around a little . i decided to make a quick trip to the bathroom . the walk to the bathroom was interesting i accidentally walked
177,105_2c-e,105,2c-e,Serotonergic psychedelics,behind taking what few notes it could and shouting out any road signs it might pass on the way . and then seconds or minutes later i snap out of it
178,0_dpt,0,dpt,Serotonergic psychedelics,very . took him five minutes to get her to stand . she moves very slowly her muscles are very rigid . c standing in the middle of the room hands
179,266_2c-e,266,2c-e,Serotonergic psychedelics,i had not realized how strongly my perception of my surroundings could change my this period was the peak of my trip . visual effects were varied and good but never
180,54_psilocybin mushrooms,54,psilocybin mushrooms,Serotonergic psychedelics,walking around GPE alone and tripping for three hours really fucked with my sense of time space and communication with other people . it had never felt so good to lay
181,169_psilocybin mushrooms,169,psilocybin mushrooms,Serotonergic psychedelics,i need to give to others i feel at fault for having the ability and time and not going about doing it . with this conviction i called the and volunteered
182,215_psilocybin mushrooms,215,psilocybin mushrooms,Serotonergic psychedelics,gone chapter life as a acting in a after what appeared to be a very long time he came inside the house again . from a point he was in the
