Key,Topic,Substance,Class,Document
52 5-meo-dipt,52 - movie - film - movies,5-meo-dipt,Serotonergic psychedelics,movie in hand . when i drove home i decided to take a very convoluted long way back so as not to arouse suspicion from whom i have no idea .
52 5-meo-dmt,52 - movie - film - movies,5-meo-dmt,Serotonergic psychedelics,i been planning to do for a while and as an attempt to find something short acting that could possibly get me out of day mind ' and put me in
52 5-meo-dmt,52 - movie - film - movies,5-meo-dmt,Serotonergic psychedelics,i am incapable of love . i had not realized what this had done to fast forward a life that i have lived and i say this boldly no movie impresses
52 6-apb,52 - movie - film - movies,6-apb,Entactogens,. coworkers ect . do nt go to a movie theatre it seems extremely fucking long i watched a thriller i kept trying to figure out how the killer in the
52 alcohol,52 - movie - film - movies,alcohol,Depressant / sedatives,in everything with a part of my brain but the other half just wants to pass unfortunately the movie we wanted to see ca remember what it was was sold out
52 alcohol,52 - movie - film - movies,alcohol,Depressant / sedatives,those scenes in a movie just before the character blacks out . i swayed no longer having enough balance to sit up straight and PERSON caught me before i hit the
52 alcohol (hard),52 - movie - film - movies,alcohol (hard),Depressant / sedatives,sick of the movie so we stopped it and went to the basement . i slowly walked down the stairs so i did kill myself . we sat around in the
52 al-lad,52 - movie - film - movies,al-lad,Serotonergic psychedelics,point we start the movie . it was an epic film for its mere minute length . just a bunch of time lapses and nature shots to nice music filmed in
52 amanita muscaria,52 - movie - film - movies,amanita muscaria,Dissociative psychedelics,with what was going on to say ' and realize my mind was moving too fast . i got off the phone and sat down to watch the movie that was
52 amanita muscaria,52 - movie - film - movies,amanita muscaria,Dissociative psychedelics,. and then it would skip ahead a few moments . i was skimming through time . if you have seen the movie ' with PERSON PERSON what he was going
52 amanita muscaria,52 - movie - film - movies,amanita muscaria,Dissociative psychedelics,the head and just kinda spaced out for a couple seconds about every minutes . short term memory was still pretty messed up . movie was over despite it seeming to
52 amanita muscaria,52 - movie - film - movies,amanita muscaria,Dissociative psychedelics,because my next conscious thought was the movie is done woke up not sure how long i was out . i feel inebriated for sure . like a good buzz from
52 amphetamine,52 - movie - film - movies,amphetamine,Stimulants,definitely wrong . at this point things then got a little weird to say the shortly after i got back to my seat in the movie theatre a train of emotions
52 amphetamine,52 - movie - film - movies,amphetamine,Stimulants,and i really enjoyed the feeling i was having . now i head to last period and hour and a half of ib theatre then followed by a hour rehearsal .
52 amphetamine,52 - movie - film - movies,amphetamine,Stimulants,. we headed back into the movies and sat down . i had a sick time it was a fucken mad movie and i can remember it really good . i
52 amt,52 - movie - film - movies,amt,Serotonergic psychedelics,that placeholder i was paying very attention on the movie . i do remember the time going by because i left my cell phone in the car i mean i forgot
52 amt,52 - movie - film - movies,amt,Serotonergic psychedelics,just because it was so late . but i could feel the energy and somewhat speedy effects of the amt right along with my tiredness . after the movie was over
52 amt,52 - movie - film - movies,amt,Serotonergic psychedelics,mind sober but my god it was like watching the earth from the begining of time to present day in hours . the best movie after viewing it my bro and
52 amt,52 - movie - film - movies,amt,Serotonergic psychedelics,the best movie after viewing it my bro and i smoked some weed then he passed out . time seemed to stand still evaporate at this point . my mind was
52 argyreia nervosa,52 - movie - film - movies,argyreia nervosa,Serotonergic psychedelics,winds on my bare skin . i then tried to finish the movie but i quickly realized that i much rather find a more comfortable setting . i sat in my
52 argyreia nervosa,52 - movie - film - movies,argyreia nervosa,Serotonergic psychedelics,knowledge all catalyzed by the mind opening powers of seeds . so in order to pass the placeholder and to distract our almost menacing anticipations we decided to watch a movie
52 brugmansia spp.,52 - movie - film - movies,brugmansia spp.,Deliriants,called out to me enticed me closer then sucked me right in . ' i quickly make a tea and head back to ORG ORG for a crazy movie experience '
52 brugmansia spp.,52 - movie - film - movies,brugmansia spp.,Deliriants,i would frequent to get out of the scene some times . a place i long to return called straubing . when we would break from our scene and spent our
52 brugmansia spp.,52 - movie - film - movies,brugmansia spp.,Deliriants,seriously strange . i vaguely recall going into the movie theatre and freaking out pretty quick so i headed for the bathroom and left my bag which had all my legal
52 buprenorphine,52 - movie - film - movies,buprenorphine,Depressant / sedatives,okay again and after cleaning up i went back into the theater where i practically passed out on my boyfriend for the rest of the in the car on the way
52 cannabis spp.,52 - movie - film - movies,cannabis spp.,Depressant / sedatives,. the screen seemed quite far away and the movie seemed to be going really fast . there were parts that i knew were in the movie that i had no
52 cannabis spp.,52 - movie - film - movies,cannabis spp.,Depressant / sedatives,watching most of the movie maybe all of it i really paying attention but the time came when we wanted to go to bed so we all went upstairs and hit
52 cannabis spp.,52 - movie - film - movies,cannabis spp.,Depressant / sedatives,with two of our other more experienced stoner friends . so we figure out the time and movie that we are going to see . the movie started at and we
52 cannabis spp.,52 - movie - film - movies,cannabis spp.,Depressant / sedatives,movie together . at this placeholder i started to come down and become tired very quickly . i kept drifting in and out of sleep and when the movie was finally
52 cocaine,52 - movie - film - movies,cocaine,Stimulants,movie . that was about hours so weird about it all that hours is the longest time frame since having coke and i believe what going through . without a doubt
52 datura spp.,52 - movie - film - movies,datura spp.,Deliriants,once ran into the side of the doorway when walking through it . about the time the movie ended my friend said he had to go outside to take piss .
52 datura spp.,52 - movie - film - movies,datura spp.,Deliriants,since the other guy who had partaken of the smoothie was having a much harder time dealing with the scene than we anticipated . i was disappointed i had hoped to
52 dimenhydrinate,52 - movie - film - movies,dimenhydrinate,Deliriants,the movie . i had eaten in about hours so i expected it to hit quickly . within minutes i began to feel a strange feeling throughout my body almost like
52 diphenhydramine,52 - movie - film - movies,diphenhydramine,Depressant / sedatives,i do remember if i actually did start watching a movie but i fell asleep shortly after all in all it was a very unpleasant experience and definitely not something i
52 diphenhydramine,52 - movie - film - movies,diphenhydramine,Depressant / sedatives,a movie on tv but could not follow it . my mind was clouded and slowed to the point where it was confusing to think beyond the purely animal level .
52 diphenhydramine,52 - movie - film - movies,diphenhydramine,Depressant / sedatives,put on another movie unbreakable and watched some of it but could focus for too long . it was around in the morning and i got an urge to work out
52 diphenhydramine,52 - movie - film - movies,diphenhydramine,Depressant / sedatives,the movie and proper it was exactly . i made sure i knew the exact time of ingestion . i took all the ORG out of my pocket counted out and
52 dmt,52 - movie - film - movies,dmt,Serotonergic psychedelics,the movie ' and the monster with eyes in his hands from labyrinth ' with long fingers that looked like spider legs danced across my vision and all around me with
52 dmt,52 - movie - film - movies,dmt,Serotonergic psychedelics,directs his films placeholder and furious . images cut from one to the next little time to focus or appreciate the grand scenic vista . fun as hell and but leaving
52 dob-dragonfly,52 - movie - film - movies,dob-dragonfly,Serotonergic psychedelics,looked and felt but we could just not stop . the movies did not feel long at all almost like a short tv show . d decided to go to bed
52 dob-dragonfly,52 - movie - film - movies,dob-dragonfly,Serotonergic psychedelics,. well i was wrong the trip continued watching movies until we came across and passed the hour period i had been feeling almost like death was right around the corner
52 doc,52 - movie - film - movies,doc,Serotonergic psychedelics,film nightwatch . i felt nothing in particular through the whole movie it took a long time for the doc to take noticeable effect . i did care for the film
52 dom,52 - movie - film - movies,dom,Serotonergic psychedelics,with an figure ' in the house . this is where things went south very fast . the movie quickly became far too intense it was too much stimulation . my
52 dpt,52 - movie - film - movies,dpt,Serotonergic psychedelics,the movie i needed to move around a little . i decided to make a quick trip to the bathroom . the walk to the bathroom was interesting i accidentally walked
52 dpt,52 - movie - film - movies,dpt,Serotonergic psychedelics,pichu wobbuffet and PERSON marshmallows . i held onto this gazing at it for a long time . during one of the scenes of the movie i became confused as to
52 dxm,52 - movie - film - movies,dxm,Dissociative psychedelics,placeholder that was real so i could enjoy those the movie was gone in no time suddenly it was over what i realized when my friends stood up and the lights
52 dxm,52 - movie - film - movies,dxm,Dissociative psychedelics,at PERSON came on and we watched that for a while but we spent more time talking and smoking pot . the pot where my mom lives in the desert is
52 dxm,52 - movie - film - movies,dxm,Dissociative psychedelics,slip i ingested the other somewhere down the line but i not sure where . time had totally stopped for me minutes became hours the movie was everlasting lights were too
52 echinopsis pachanoi,52 - movie - film - movies,echinopsis pachanoi,Serotonergic psychedelics,where you not sure if you awake or still dreaming and the guy said the time called mescaline the only way to the early scenes of that movie were so odd
52 echinopsis pachanoi,52 - movie - film - movies,echinopsis pachanoi,Serotonergic psychedelics,enchanting ethereal film perfect for the trip i was on . rendered unwatchable due to time having sped up by . soundtrack was garbled too ill to take it in anyway
52 echinopsis pachanoi,52 - movie - film - movies,echinopsis pachanoi,Serotonergic psychedelics,up . interesting that i could tell the difference but still completely unable to put time the living room became the room after that with the film and the clock on
52 echinopsis pachanoi,52 - movie - film - movies,echinopsis pachanoi,Serotonergic psychedelics,the room after that with the film and the clock on the wall going too fast to keep up with . could bear to be in there even though time was
52 ether,52 - movie - film - movies,ether,Depressant / sedatives,seeing scenes that upon rewatching the movie showed that those scenes had never existed . fast forward DATE DATE DATE DATE of my other friends and i were again watching f
52 hash,52 - movie - film - movies,hash,Depressant / sedatives,had a hard placeholder in his house fighting out a war inside of his own time we get to the cinema the film is behind the gates ' . i shoot
52 hash,52 - movie - film - movies,hash,Depressant / sedatives,though the linear hollow storyline . i think film critics should have a joint before time the film has finished and i feeling alot better although physically and mentally worn out
52 hydrocodone,52 - movie - film - movies,hydrocodone,Depressant / sedatives,me either but i figured i give it a shot . took me way too long to choose a new movie to stick in could make up my mind for the
52 hydrocodone,52 - movie - film - movies,hydrocodone,Depressant / sedatives,rinsed my mouth out with some water and went back to the movie . i slowly came down to baseline over the next three hours but i felt aftereffects of peacefulness
52 hydrocodone,52 - movie - film - movies,hydrocodone,Depressant / sedatives,a friend right now and my mind seems a little disoriented and jumbled thoughts seem slow to come to mind . decide to put in the movie american sorta forgot about
52 hydrocodone,52 - movie - film - movies,hydrocodone,Depressant / sedatives,realized it was on the big lebowski dvd menu my mind is clearly a little slow . i take that out and get the correct dvd in . at this placeholder
52 lsd,52 - movie - film - movies,lsd,Serotonergic psychedelics,i remembered watching it DATE DATE . it seemed like a couple of hours had passed and the pizza gotten there yet and turns out the movie been on for very
52 lsd,52 - movie - film - movies,lsd,Serotonergic psychedelics,all was till then i realized that the movie was over and this was a long movie . i think something like hours at that point shaken by what i had
52 lsd,52 - movie - film - movies,lsd,Serotonergic psychedelics,different movie . my head though was still on constant thought of the trip . shortly though i was able to fall asleep . although i sleep for very long .
52 lsd,52 - movie - film - movies,lsd,Serotonergic psychedelics,i turned into soup and thought the sides of the theater were on fire that passed and i got so deep into the movie that it became real . PERSON character
52 mbdb,52 - movie - film - movies,mbdb,Entactogens,the PERSON was still ramping up by the placeholder the movie was over . next fast and the furious . ' this one was much better . relaxation is overwhelming and
52 mbdb,52 - movie - film - movies,mbdb,Entactogens,away . horrid flick although i would have most likely enjoyed it almost any other time . luckily the PERSON was still ramping up by the placeholder the movie was over
52 mbdb,52 - movie - film - movies,mbdb,Entactogens,seen it before and wish i had now . or that i picked a better time to watch it . i in a very good mood and it trying to pull
52 mdma,52 - movie - film - movies,mdma,Entactogens,after the movie we all went out to dinner at our local ORG by which time most of the intensity of my roll had passed about hours and i was left
52 mdma,52 - movie - film - movies,mdma,Entactogens,other people i had only met a couple of times . the movie was very long and very boring so i decided to pop a tab in the theatre without telling
52 mdma,52 - movie - film - movies,mdma,Entactogens,starts shaking . on the next night i still seemed to have those fucked up short movies in my sleep . and the night after that i slighty felt anything left
52 mescaline,52 - movie - film - movies,mescaline,Serotonergic psychedelics,the animation would come out of the screen and because i was having a difficult time remaining in the real world but have seen the movie many times the only existence
52 methoxetamine,52 - movie - film - movies,methoxetamine,Dissociative psychedelics,a rush throughout my body starting from the base of spine . a little more time passed and it was at this point in the movie that depp character takes a
52 methylone,52 - movie - film - movies,methylone,Entactogens,sit and watch the movie . raised heart beat . the movie did not last long maybe min very light head with a slight tension in the neck . very enjoyable
52 methylone,52 - movie - film - movies,methylone,Entactogens,starting to go down but i wish they my boyfriend and i watch a very long movie . i feel a little bad at first because it one of my favorite
52 methylone,52 - movie - film - movies,methylone,Entactogens,sit and watch the movie . raised heart beat . the movie did not last long maybe min . very light head with a slight tension in the neck . very
52 mitragyna speciosa,52 - movie - film - movies,mitragyna speciosa,Depressant / sedatives,probably too hot from all the people crammed into mental and physical effects began to slow down . we left the movie still feeling very happy but definitely with decreased effects
52 morning glory,52 - movie - film - movies,morning glory,Serotonergic psychedelics,then to finger it but i was too tired too . i thought for a long time about the movie and the philosophy behind it and what really was the meaning
52 morning glory,52 - movie - film - movies,morning glory,Serotonergic psychedelics,out i was having sex with myself so desperate . after the movie by which time i was very open i turned out the lights and turned on the small christmas
52 morning glory,52 - movie - film - movies,morning glory,Serotonergic psychedelics,so all the branches were overlapping when they should have back at home start watching fast and the furious and it very enjoyable . cars look awesome fast scene are a
52 morning glory,52 - movie - film - movies,morning glory,Serotonergic psychedelics,could bring myself to do that . in order to make it to church on time jarquom left at the end of the movie probably around driven by prulict . i
52 myristica spp.,52 - movie - film - movies,myristica spp.,Stimulants,looked and sounded cool . all of the characters in the movie were moving in slow motion at times that it would not have made sense for the effect to be
52 myristica spp.,52 - movie - film - movies,myristica spp.,Stimulants,my choice for a drug movie but we made plans to watch it ahead of time . the movie passes along in a haze although now i do really remember the
52 myristica spp.,52 - movie - film - movies,myristica spp.,Stimulants,it was the nutmeg that made it so great . wow the movie sucked big time . the plot was absolutely atrocious and the actors were an embarrassment to humankind .
52 nitrous oxide,52 - movie - film - movies,nitrous oxide,Dissociative psychedelics,day of the i had just got out of watching a movie in spanish th period . i am on the football team so every day i go to the locker
52 oxycodone,52 - movie - film - movies,oxycodone,Depressant / sedatives,there for most of the movies we were so out of it we were basically passing out every few minutes then waking up again . around we were still strongly feeling
52 papaver somniferum,52 - movie - film - movies,papaver somniferum,Depressant / sedatives,body high still there . i turn on princess mononoke and watch some . i pass out around and wake up a few times feeling like the movie is real .
52 psilocybin mushrooms,52 - movie - film - movies,psilocybin mushrooms,Serotonergic psychedelics,doing right now around am the movie ended and i was on the verge of passing out . i turned everything off and packed up a little we had to check
52 psilocybin mushrooms,52 - movie - film - movies,psilocybin mushrooms,Serotonergic psychedelics,up DATE and think this is real at about in the morning i began to slowly come down . we started watching the movie which was crazy and the subtitles where
52 psilocybin mushrooms,52 - movie - film - movies,psilocybin mushrooms,Serotonergic psychedelics,into my mind i have to see a movie something nice . this will make time go by and soon the hours mentioned in the reports i was obsessed by the
52 psilocybin mushrooms,52 - movie - film - movies,psilocybin mushrooms,Serotonergic psychedelics,was my first ' moment as i began to panic . everything was intensifying too quickly . i could handle all of it at once . the movie had become way
52 salvia divinorum,52 - movie - film - movies,salvia divinorum,Other,imagined the bad guy from the second terminator movie felt when he was shattered and slowly reformed in the foundry . although as far as intensity goes it was more like
52 salvia divinorum,52 - movie - film - movies,salvia divinorum,Other,the movie . it kinda made me think about being physically pushed through minutes of time compressed in seconds . now imagine what that would feel like on your body and
52 salvia divinorum,52 - movie - film - movies,salvia divinorum,Other,house for about minutes only which blew my mind . it felt like years had passed . so we finally put on ' which is a great flick and i packed
52 salvia divinorum,52 - movie - film - movies,salvia divinorum,Other,but was looking through to this scene from the of the railroad tracks . immediately time sped up . the setting grew older and older . i watched as the setting
52 tramadol,52 - movie - film - movies,tramadol,Depressant / sedatives,feeling . in fact i was so completely comfortable that i caught myself slipping into short throughout the movie . i did not understand until later that i was catching the
52 venlafaxine,52 - movie - film - movies,venlafaxine,Antidepressants / antipsychotics,giver the movie disturbing behavior the scene in camazotz in the book a wrinkle in time conformist societies . i feel as if the PERSON is controlling me and making me
52 yohimbe,52 - movie - film - movies,yohimbe,Other,a while that anything was happening . but before the movie was over it min long i was tired from being up DATE DATE and wanted to go to sleep .
52 zolpidem,52 - movie - film - movies,zolpidem,Depressant / sedatives,play . when it was placeholder to switch to disk two the movie is fucking long i realized that i really feel high anymore . this can get me into trouble
55 1p-lsd,55 - euphoria - euphoric - feelings,1p-lsd,Serotonergic psychedelics,the physical euphoria was so great . i was shocked when i looked at my clock and it was only . it felt like i had been tripping for about hours
55 1p-lsd,55 - euphoria - euphoric - feelings,1p-lsd,Serotonergic psychedelics,coming on . the first key difference i found is that while comes on very fast suddenly and instantly euphoric seemed to have a sort of slow not entirely comfortable for
55 25i-nbome,55 - euphoria - euphoric - feelings,25i-nbome,Serotonergic psychedelics,but only not that strong . euphoria sets in but only mildly . PERSON gets time is becoming very distorted . time is going incredibly slow and PERSON still remains but
55 25i-nbome,55 - euphoria - euphoric - feelings,25i-nbome,Serotonergic psychedelics,back starts to be obvious . wow for some reason this is kicking in really fast i start feeling it like now a feeling of euphoria and speed like if all
55 25i-nbome,55 - euphoria - euphoric - feelings,25i-nbome,Serotonergic psychedelics,. in the beginning i feel sane euphoric normally functioning and really open but as time passes and i use this continuously it got worse really confusing and mind fucking .
55 2c-b,55 - euphoria - euphoric - feelings,2c-b,Serotonergic psychedelics,feel like coming down . no oevs if i do concentrate explicitly and the euphoria slowly less and less euphoria but my friend is still high and he getting the cevs
55 2c-b,55 - euphoria - euphoric - feelings,2c-b,Serotonergic psychedelics,something . alert always comes to me as a that just me or ' . time is spent playing around and definite push . euphoria building . does definitely have distinct
55 2c-c,55 - euphoria - euphoric - feelings,2c-c,Serotonergic psychedelics,once this process of waves of mild euphoria coming and going continued for the whole length of the trip and was the only interesting feature . neither of us experienced any
55 2c-d,55 - euphoria - euphoric - feelings,2c-d,Serotonergic psychedelics,it still going for sure i definitely still feel trippy and euphoric but i no longer getting pulled into abstract realms of thought where i lose touch with my my girlfriend
55 2c-d,55 - euphoria - euphoric - feelings,2c-d,Serotonergic psychedelics,far easier and more euphoric of an experience . is heavy and ranges in a short span of time from anxious and heavy and unpleasant to euphoric and beautiful and amazing
55 2c-d,55 - euphoria - euphoric - feelings,2c-d,Serotonergic psychedelics,PERSON vanishes . i spend some placeholder surfing the internet . i have a very short burst of euphoria but nothing strong . i feel a bit like having taken a
55 2c-i,55 - euphoria - euphoric - feelings,2c-i,Serotonergic psychedelics,. euphoria always sets in at this stage for me i would say of the time lasts for an hour to an hour and a half . makes me want to
55 2c-p,55 - euphoria - euphoric - feelings,2c-p,Serotonergic psychedelics,issues dealing with others high euphoria to be out on such a beautiful day leisurely pace was pleasurable . sense of smell was improved and pleasurable visuals present but not intrusive
55 2c-t-2,55 - euphoria - euphoric - feelings,2c-t-2,Serotonergic psychedelics,bruxism grinding of teeth euphoria present though nowhere near GPE also euphoria is not guaranteed time visual enhancement contrast and colors are enhanced though they never change things do warp or
55 2c-t-7,55 - euphoria - euphoric - feelings,2c-t-7,Serotonergic psychedelics,no euphoria no happiness no creative thinking . i keep a hold of a thought long enough to express it . i would not recommend this high of a dose to
55 3-meo-pcp,55 - euphoria - euphoric - feelings,3-meo-pcp,Dissociative psychedelics,i leave for the t back from walk feeling excellent the heavy effects have been slowly increasing and steadily rolling waves of euphoria are coming back again . there was a
55 4-aco-det,55 - euphoria - euphoric - feelings,4-aco-det,Serotonergic psychedelics,ubiquitous feel absolutely crushing and devastating but i get over back to conclusion is a short trip . less introspective and more outrospective is that a word you find yourself hyperanalyzing
55 4-aco-dmt,55 - euphoria - euphoric - feelings,4-aco-dmt,Serotonergic psychedelics,but my girlfriend obviously freaked out at this because like what the fuck eventually we slowly started to come back down until all that was left was euphoria and we just
55 4-aco-dmt,55 - euphoria - euphoric - feelings,4-aco-dmt,Serotonergic psychedelics,euphoria which was very welcome and very pleasant . it lasted more or less the duration of the experience . will try again probably at a higher level or so .
55 4-aco-dmt,55 - euphoria - euphoric - feelings,4-aco-dmt,Serotonergic psychedelics,euphoria is still strong . feeling like i could eat something now i decide to slowly eat a small around this placeholder i begin to feel nauseous and fearful again .
55 4-fluoroamphetamine,55 - euphoria - euphoric - feelings,4-fluoroamphetamine,Stimulants,euphoric phase last for couple hours then usually only body stays very stimulated in a speedy way for next hours or so but i am still awesomely hooked on the music
55 4-ho-mipt,55 - euphoria - euphoric - feelings,4-ho-mipt,Serotonergic psychedelics,euphoria definitely comparable to being drunk but with the clear headedness of a oevs building faster hopefully the peak at i been hearing about it coming . pupils are noticeably dilated
55 4-ho-mipt,55 - euphoria - euphoric - feelings,4-ho-mipt,Serotonergic psychedelics,a catalyst for creative hours go by and the comedown becomes slightly more uncomfortable as time progresses . the bodily awareness begins to outweigh the euphoria . almost like a slight
55 5-meo-dipt,55 - euphoria - euphoric - feelings,5-meo-dipt,Serotonergic psychedelics,feeling slightly loosing control of motor function but pleasant and subtle . after some placeholder passed euphoria settled in and i felt nice and comfortable sitting on my couch and just
55 5-meo-dipt,55 - euphoria - euphoric - feelings,5-meo-dipt,Serotonergic psychedelics,but they now were feeling wonderful . i started getting waves of euphoria followed by short waves of discomfort . it was a cycle of feeling wonder then uncomfortable and wonderful
55 5-meo-dipt,55 - euphoria - euphoric - feelings,5-meo-dipt,Serotonergic psychedelics,this . the visual effects and euphoric rush lasted almost two hours but at no time did i find it overwhelming or scary . i was all smiles and found it
55 5-meo-dmt,55 - euphoria - euphoric - feelings,5-meo-dmt,Serotonergic psychedelics,someone was pressing up on it with his or her my friend and my self shortly stepped outside and i started to feel this crazy euphoria in my stomach . i
55 5-meo-mipt,55 - euphoria - euphoric - feelings,5-meo-mipt,Serotonergic psychedelics,thing is to simply let i found that another wave will come the maelstrom will pass the chills will pass and euphoria will return . if i too caught up in
55 6-apb,55 - euphoria - euphoric - feelings,6-apb,Entactogens,getting rushes of euphoria it felt so good to touch things and just move real slow . pm i take the other half because i love how this is making me
55 6-apb,55 - euphoria - euphoric - feelings,6-apb,Entactogens,tweaking shakes but the biggest rush of euphoria i ever felt hits me as we pass around the last blunt rolled with shake and from here somewhere around til DATE DATE
55 alcohol (hard),55 - euphoria - euphoric - feelings,alcohol (hard),Depressant / sedatives,the theory that thujone effects are a myth . within minutes we both felt a speedy sensation happiness mental clarity sociability and some visual effects . within minutes we both felt
55 alcohol (hard),55 - euphoria - euphoric - feelings,alcohol (hard),Depressant / sedatives,reaching the third stage the drinker experiences a kind of euphoric enlightenment . through my extended slow usage i experienced a variation of these three stages . the surface euphoria stage
55 alprazolam,55 - euphoria - euphoric - feelings,alprazolam,Depressant / sedatives,that inhabits my brain . no if or freaked out feelings . it put a quick and heavy handed smack down on my mood . it not euphoric but it does
55 alprazolam,55 - euphoria - euphoric - feelings,alprazolam,Depressant / sedatives,going to search me as soon as we got to the office . my euphoria quickly turned into panic and on the way to the office i began desperately searching through
55 amanita muscaria,55 - euphoria - euphoric - feelings,amanita muscaria,Dissociative psychedelics,the euphoria and more vivid sights and yet at the same placeholder physical things were slowed down . i was even drinking a cup of coffee in one hand while bouncing
55 amphetamine,55 - euphoria - euphoric - feelings,amphetamine,Stimulants,things . early on it reminded me of a more restrained ecstacy high . over time though i become stuck in a live with it ca live without it ' cycle
55 amphetamine,55 - euphoria - euphoric - feelings,amphetamine,Stimulants,i started to notice less euphoria but i was still wired and would sit or pace and think and think and think about things . this started really messing my head
55 amphetamine,55 - euphoria - euphoric - feelings,amphetamine,Stimulants,just some at a lesser extent . the euphoria in particular seemed less intense and shorter . the extreme augmentation of my emotions was also present in a lesser during DATE
55 amphetamine,55 - euphoria - euphoric - feelings,amphetamine,Stimulants,i became so dependent without even realizing it . once i experienced the euphoria i quickly felt as though i was boring and not myself without it . ordinary life seemed
55 anadenanthera colubrina,55 - euphoria - euphoric - feelings,anadenanthera colubrina,Serotonergic psychedelics,once the pain resides a bit the relief is a revelatory experience . unfortunately this period of euphoria is short and immediatley followed by a sudden comedown . you do really
