,Topic Nr,Topic,Substance,Class,Document
8610,0,000 - life - things - longer,mirtazapine,Antidepressants / antipsychotics,"...ocd . i decided to ween myself off it during the second of these obsessional periods because i think it was working . however , in retrospect i think i was... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114394#:~:text=ocd.%20I%20decided,think%20I%20was>URL</a>)"
8617,0,000 - life - things - longer,mirtazapine,Antidepressants / antipsychotics,".... it was a pleasant feeling , and i stayed away from it for a long time . last night i was bored , not tired and had run out of... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=109711#:~:text=.%20it%20was,run%20out%20of>URL</a>)"
8618,0,000 - life - things - longer,mirtazapine,Antidepressants / antipsychotics,"..., since i was . the stubbornness to abate and also their inherently irrational nature quickly led me to also suffer with anxiety , panic attacks , and depression . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114394#:~:text=,%20since%20I,and%20depression.%20i>URL</a>)"
8622,0,000 - life - things - longer,mirtazapine,Antidepressants / antipsychotics,"...to change . this is not to say that i feel happy all of the time . i . i have good days and bad days , like we all do... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114394#:~:text=to%20change.%20this,we%20all%20do>URL</a>)"
8623,0,000 - life - things - longer,mirtazapine,Antidepressants / antipsychotics,"..., being clearheaded . so much easier to consecrate and do things . i no longer struggle with tasks that require you to be sharp . my job involves a lot... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114009#:~:text=,%20being%20clearheaded.,involves%20a%20lot>URL</a>)"
8624,0,000 - life - things - longer,mirtazapine,Antidepressants / antipsychotics,"...have been so motivated that actually considering going to university , which has for a long time been a nono . i feel like i could go to school and actually... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114009#:~:text=have%20been%20so,school%20and%20actually>URL</a>)"
8626,0,000 - life - things - longer,olanzapine,Antidepressants / antipsychotics,"...that i was becoming increasingly incapable of handling relaxed after a while i could no longer handle taking ecstacy any more , without feeling that the entire club knew who i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=41305#:~:text=that%20I%20was,knew%20who%20i>URL</a>)"
8627,0,000 - life - things - longer,olanzapine,Antidepressants / antipsychotics,"..., without feeling that the entire club knew who i was . i could no longer function on weed , speed made me tired and i was starting to require alcohol... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=41305#:~:text=,%20without%20feeling,to%20require%20alcohol>URL</a>)"
8687,0,000 - life - things - longer,olanzapine,Antidepressants / antipsychotics,"...which left me at my house alone for about minutes approximately . sometime during this period i felt extremely uncomfortable . it not something i can describe good , but kind... - TBS:0.973  (<a href=https://erowid.org/experiences/exp.php?ID=41324#:~:text=which%20left%20me,good,%20but%20kind>URL</a>)"
8589,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...are fun some are . balance like i am walking on a rocky boat from time to . very vivid and complex . i am like a being . no feeling... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=11522#:~:text=are%20fun%20some,being.%20no%20feeling>URL</a>)"
8590,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...same . have always been blessed by the gift of telepathy , it is now slowly withering away . can no longer read minds , and this saddens i am still... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=11522#:~:text=same.%20have%20always,I%20am%20still>URL</a>)"
8595,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...i had noticed that there were times that i would feel overly , followed by periods of deep sadness . so , after extensive research on the internet , i decided... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=30654#:~:text=i%20had%20noticed,internet,%20I%20decided>URL</a>)"
8598,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...of other things . on the good side , it decreased my social anxieties big time . the awkwardness and anxiety of being around strangers and myself to others was gone... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=14958#:~:text=of%20other%20things.,others%20was%20gone>URL</a>)"
8602,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...a . and because of my grades i was allowed to do almost in this period i started smoking cannabis , to find a relief from the boring realities of life... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=39633#:~:text=a.%20and%20because,realities%20of%20life>URL</a>)"
8603,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...that . no friends and no family my families true colors came out during this period . i just hated everybody , is nt this natural i had perfectly good reasons... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=53714#:~:text=that.%20no%20friends,perfectly%20good%20reasons>URL</a>)"
8604,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...energetic , laughing . it felt great , especially after being so depressed for so long . it made me feel like i can accomplish anything . i would get up... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=14714#:~:text=energetic,%20laughing.%20it,would%20get%20up>URL</a>)"
8607,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...sdd . after being placed on it my personality changed completely . i was no longer the person that i once was . it actually made me more depressed than i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=42762#:~:text=sdd.%20after%20being,depressed%20than%20i>URL</a>)"
8709,0,000 - life - things - longer,paroxetine,Antidepressants / antipsychotics,"...detail , but i was able to achieve orgasm in a very reasonable amount of time and it was one of the most intense i ever experienced . things seemed to... - TBS:0.882  (<a href=https://erowid.org/experiences/exp.php?ID=66820#:~:text=detail,%20but%20I,things%20seemed%20to>URL</a>)"
8629,0,000 - life - things - longer,quetiapine,Antidepressants / antipsychotics,"...my life , with all the self destructive behavior i was going through and the endless abyss of depression i had , i be dead by now , if not for... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=60288#:~:text=my%20life,%20with,if%20not%20for>URL</a>)"
8653,0,000 - life - things - longer,quetiapine,Antidepressants / antipsychotics,"...hard to figure out in my mind . as the evening went on , i slowly got more sober and more talkative , which was good because i drive back to... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=8488#:~:text=hard%20to%20figure,drive%20back%20to>URL</a>)"
8655,0,000 - life - things - longer,quetiapine,Antidepressants / antipsychotics,"...out the eyes in tragedy from the track like light to the flies after this period i settled down quickly . i became very strong against my anxious thoughts of social... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=113500#:~:text=out%20the%20eyes,thoughts%20of%20social>URL</a>)"
8656,0,000 - life - things - longer,quetiapine,Antidepressants / antipsychotics,"...heavy . my body just seems unnaturally heavy . i also have a very difficult time trying to articulate what i trying to say , and have definitely felt like an... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=108971#:~:text=heavy.%20my%20body,felt%20like%20an>URL</a>)"
8691,0,000 - life - things - longer,quetiapine,Antidepressants / antipsychotics,"...serial monogamist , err , meaning i hooked up a lot and then dumped them shortly after getting what i wanted , which was pretty much only sex . man i... - TBS:0.952  (<a href=https://erowid.org/experiences/exp.php?ID=60288#:~:text=serial%20monogamist,%20err,,sex.%20man%20i>URL</a>)"
8699,0,000 - life - things - longer,quetiapine,Antidepressants / antipsychotics,"...get going , but rode out any drag and eventually found positive energy , as long as i remained focused on finding that energy . usually sitting in a room comfortably... - TBS:0.925  (<a href=https://erowid.org/experiences/exp.php?ID=108814#:~:text=get%20going,%20but,a%20room%20comfortably>URL</a>)"
8661,0,000 - life - things - longer,sertraline,Antidepressants / antipsychotics,"...learning and i want to do the best i can . i can visualize my long term goals in a better perspective . school becomes more of a priority and i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=82125#:~:text=learning%20and%20I,priority%20and%20i>URL</a>)"
8662,0,000 - life - things - longer,sertraline,Antidepressants / antipsychotics,"...can apply myself to school more efficiently though a work in progress . i no longer feel jaded , bored , down , emotionally monotone or even depressed . i am... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=82125#:~:text=can%20apply%20myself,depressed.%20I%20am>URL</a>)"
8664,0,000 - life - things - longer,sertraline,Antidepressants / antipsychotics,"...service station after driving miles drunk . i got sober at the age of , shortly after the birth of my daughter who has saved my life in more ways than... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=113967#:~:text=service%20station%20after,more%20ways%20than>URL</a>)"
8698,0,000 - life - things - longer,sertraline,Antidepressants / antipsychotics,"...of sexual arousal . also , it kind of made my memory go on a long trip to GPE or something . it was a bit hard to think and ,...- TBS:0.926  (NO URL)"
8635,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...cry . and i mean cry for no reason . this took a while to pass . as for anger , i had a little run in with the law over... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=83214#:~:text=cry.%20and%20I,the%20law%20over>URL</a>)"
8637,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...relatively sane and rational person . at least however , after faring a rather difficult time in my life i started to notice a few changes in my overall mental state... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=35190#:~:text=relatively%20sane%20and,overall%20mental%20state>URL</a>)"
8638,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...would connect them and relate them to my current situation in life . after a short while , pretty much all of the books i owned were drawn on so badly... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=35190#:~:text=would%20connect%20them,on%20so%20badly>URL</a>)"
8640,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...the movie disturbing behavior , the scene in camazotz in the book a wrinkle in time conformist societies . i feel as if the PERSON is controlling me and making me...- TBS:1.0  (NO URL)"
8643,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"..., i had never contemplated suicide before . suddenly , i would find myself writing long plans about how and when i would kill myself , but the strangest thing was... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=66498#:~:text=,%20I%20had,strangest%20thing%20was>URL</a>)"
8644,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...after i was done , i started crying more . i always loved my hair longer . now it was this short mess . it was like i was in a... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=82088#:~:text=after%20I%20was,was%20in%20a>URL</a>)"
8645,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...effective in controlling my colours were brighter , my emotions were higher , i no longer had any even mild fantasies about ending my life . i began drawing and painting... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=38931#:~:text=effective%20in%20controlling,drawing%20and%20painting>URL</a>)"
8647,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...i was unable to feel anything . actually that was great at least for a period . from being in the extreme hell of major depression , it felt like arriving... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=24673#:~:text=i%20was%20unable,felt%20like%20arriving>URL</a>)"
8649,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...doing things that i do remember doing at all . more than one of those periods have included dangerous behavior suicide recently , i had to out myself to friends family... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=56500#:~:text=doing%20things%20that,to%20friends%20family>URL</a>)"
8651,0,000 - life - things - longer,venlafaxine,Antidepressants / antipsychotics,"...i felt really good about my life sometimes , too . it had been a long time since i felt that way , like about years or i started having some... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=19768#:~:text=i%20felt%20really,started%20having%20some>URL</a>)"
868,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...made it to level . what a great game for such a simple console . time to switch to actually great music , even though i do lowkey fuck with PERSON...- TBS:1.0  (NO URL)"
888,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...voices in my head , mostly telling me what to do . i was hearing endless voices and messages from all around , from the radio , from random noises ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=113404#:~:text=voices%20in%20my,from%20random%20noises,>URL</a>)"
999,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...around the car parks chewing on the fruit pastilles and feeling the sensations of space time echoing , the sound of the chewing becoming like a sort of spatial song ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=106684#:~:text=around%20the%20car,of%20spatial%20song,>URL</a>)"
1049,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...about hours into the trip . these entities remained in my vision for a very long time however they just grew more and more music became an absolute joy to listen... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=111592#:~:text=about%20hours%20into,joy%20to%20listen>URL</a>)"
1058,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...the music i listening to . it like it sounds muted , and sometimes in slow motion . it was like that for a lot of the trip , with the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=106503#:~:text=the%20music%20I,trip,%20with%20the>URL</a>)"
1059,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...thick cartoonish bands of pastel colours . i spent a lot of it dancing to slow by com truise , which defined the trip in many ways . the dancing felt... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=106503#:~:text=thick%20cartoonish%20bands,the%20dancing%20felt>URL</a>)"
1096,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"..., which is a sort of electropop , produces evolving geometric shapes , while the slower and more emotional music of your friend produces floral patterns that are more i try... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=111443#:~:text=,%20which%20is,more%20I%20try>URL</a>)"
1104,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...so that we actually had room to dance . quite often it got congested for short periods of time , but at this point i was pretty much just standing still... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=106904#:~:text=so%20that%20we,just%20standing%20still>URL</a>)"
1108,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...shot forward in my chair . very loud white noise . i experience completely ridiculous time diliation . the cars driving past on a busy road seem to slow to almost... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=113878#:~:text=shot%20forward%20in,slow%20to%20almost>URL</a>)"
1111,1,001 - music - song - sound,1p-lsd,Serotonergic psychedelics,"...i remember they told me that have and to be in a at my memory slowly came back . i put on some music together by planet of sound , that... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=115840#:~:text=i%20remember%20they,of%20sound,%20that>URL</a>)"
799,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"..., that swirl with vivid blues , and deep greens . i lost concept of time , visuals are peaking , music in any form is beautiful , i am fully... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=99950#:~:text=,%20that%20swirl,I%20am%20fully>URL</a>)"
843,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...smash with no volume on as i just sat between them and attempted to let time ride this thing i still had enough sense of myself that i could tell a... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=114578#:~:text=smash%20with%20no,could%20tell%20a>URL</a>)"
875,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...begin my soundtrack . i listening to emeralds cd . already , there a euphoria slowly washing over me . everything is vibrant . i paying close attention to the branch... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=104726#:~:text=begin%20my%20soundtrack.,to%20the%20branch>URL</a>)"
897,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...a minor inconvenience . back into the music , and i really losing track of time this hits in waves . more than feeling a little negative , and i think... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=93870#:~:text=a%20minor%20inconvenience.,and%20I%20think>URL</a>)"
909,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...in the ground covered in beatles and ants , and yet another rolling around in endless laughter in tall grass along with countless others that only reappear to my memory in... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=99340#:~:text=in%20the%20ground,my%20memory%20in>URL</a>)"
961,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"..., and by seconds in , the energy was at an . before this minute long introductory song is over , visuals appear on my desk . i have touched nature... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=103523#:~:text=,%20and%20by,have%20touched%20nature>URL</a>)"
991,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...earth is connected , and a harmony is present . i suddenly have a very short feeling of talking sounds very vague and music sounds very odd . i was listening... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=95665#:~:text=earth%20is%20connected,,I%20was%20listening>URL</a>)"
1174,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...come towards me as if they were widening , my closet seems to be really slowly . i have music on and the sounds start being deeper and more paused ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=100794#:~:text=come%20towards%20me,and%20more%20paused,>URL</a>)"
1191,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...american dollar the band . i , having some attention issues , got up pretty quickly and realized i needed something to eat before i got dead in the center of... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=95725#:~:text=american%20dollar%20the,the%20center%20of>URL</a>)"
1195,1,001 - music - song - sound,25i-nbome,Serotonergic psychedelics,"...our eyes , and pink PERSON proved to be the perfect music for such a time . in my mind , i was pretty and able to seemingly think straight ,...- TBS:1.0  (NO URL)"
37,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...white noise . that was pretty much it . the experience was incredibly and of short i do know when i do again , though i have a bunch of it... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=106808#:~:text=white%20noise.%20that,bunch%20of%20it>URL</a>)"
70,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...extremely happy and satisfied hearing the tunes . i started to notice my visuals were rapidly becoming less intense , and by i had completely come down . s seemed to... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=99929#:~:text=extremely%20happy%20and,s%20seemed%20to>URL</a>)"
76,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...during this whole room visit i could hear the song in the other room literally slow down and speed back up constantly , i felt my perception of time literally warp... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=99929#:~:text=during%20this%20whole,time%20literally%20warp>URL</a>)"
96,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...i was rather quiet as i watched out of the passenger window , the effects slowly but surely starting to wear off . the cars passing us were much more saturated... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=108414#:~:text=i%20was%20rather,much%20more%20saturated>URL</a>)"
124,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...auditory effects were my favourite . music took on a rounded , crisp , and slow dimension , gazing into the dance room , the music was now a visual element... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=113950#:~:text=auditory%20effects%20were,a%20visual%20element>URL</a>)"
173,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...into them , into a world unknown . sounds are intensified and broken down in time and layers , like the sense of hearing is that of a dog or something... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=101038#:~:text=into%20them,%20into,dog%20or%20something>URL</a>)"
181,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...music we are listening to is very plateau , very strong oevs , euphoria , short attention span . there is not a moment where i am during this whole effects... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=96279#:~:text=music%20we%20are,this%20whole%20effects>URL</a>)"
197,1,001 - music - song - sound,2c-b,Serotonergic psychedelics,"...order around things a bit . a touch of paranoia hit me , but i quickly shut it out , when i started listening to some leftfield warm , happy ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=24173#:~:text=order%20around%20things,leftfield%20warm,%20happy,>URL</a>)"
