,Topic Nr,Topic,Substance,Class,Document
5429,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...i was carried to sit in the sofa . i felt my heart beating really fast , as fast as it could go . i was horrified . i could think... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=28318#:~:text=i%20was%20carried,I%20could%20think>URL</a>)"
5430,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...at times i would find it mildly difficult to swallow or breathe and my heart rate would increase dramatically . still , i fought through it in order to reach that... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=87497#:~:text=at%20times%20I,to%20reach%20that>URL</a>)"
5432,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...breaking like a mirror and then sliding back together my heart was still going wicked fast and i tell if i was breathing . i communicate with my friends because i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=4294#:~:text=breaking%20like%20a,friends%20because%20i>URL</a>)"
5435,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,".... i heard a large rushing sound that echoed as if blood was running extremely fast through my head . i was scared , i thought i was dying , i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=33308#:~:text=.%20I%20heard,was%20dying,%20i>URL</a>)"
5440,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...beat would be the last and my heart would explode it could simply not go faster . i guess that it was actually going faster but not as fast as i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=28318#:~:text=beat%20would%20be,fast%20as%20i>URL</a>)"
5441,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...head , my ears , i could only feel really strongly my heart beating as fast as it could go . i thought i was going to have a heart attack... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=28318#:~:text=head,%20my%20ears,,a%20heart%20attack>URL</a>)"
5443,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,".... after about twenty minutes into the experience , my heart began palpatating . very fast . i could feel it beat through my sweater very fast . damnit it beat... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=4678#:~:text=.%20after%20about,damnit%20it%20beat>URL</a>)"
5444,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...panic attack for people who know what severe panic attacks feel like . for a long time i thought my three hour hallway track meet was awful until a very pot... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=86985#:~:text=panic%20attack%20for,a%20very%20pot>URL</a>)"
5452,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"...so i just laid in my bed where my heart began to race way too fast for comfort and i started shaking like crazy . i was terrified , and it... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=50414#:~:text=so%20I%20just,terrified,%20and%20it>URL</a>)"
5455,0,000 - heart - rate - beating,_ Cannabis spp. (Own graph & topics),Depressant / sedatives,"..., in a way unlike any i had ever known . this took effect very quickly and left after about seconds . i not sure what my heart rate was at... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=30693#:~:text=,%20in%20a,rate%20was%20at>URL</a>)"
6109,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...noticed that i felt a lot calmer , my muscle cramping subsided and my heartbeat slowed to normal . i stopped shaking my legs and fidgeting . at three i was... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=15513#:~:text=noticed%20that%20I,three%20I%20was>URL</a>)"
6132,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...to pump my stomach but found it had already been absorbed . my resting heart rate is around , but from the time i checked in until i started to come... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=38676#:~:text=to%20pump%20my,started%20to%20come>URL</a>)"
6139,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...a day , it was hard as hell some nights my heart would race so fast that i really thought i was going to have a stroke , but i kept... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=52780#:~:text=a%20day,%20it,but%20I%20kept>URL</a>)"
6235,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...blood pressure so low i had to be revived . it was the most frightening time of my life . for DATE i was given mri , ORG , and blood...- TBS:1.0  (NO URL)"
6243,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...to the emergency department and found that hospital staff would attend to my medical needs quicker if i told them your having a heart attack . if you do have blood... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=28601#:~:text=to%20the%20emergency,do%20have%20blood>URL</a>)"
6259,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...i started to get a rhythm in my breathing , but i just let that pass by my then all my attention focused on my nose , because it had the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=75789#:~:text=i%20started%20to,it%20had%20the>URL</a>)"
6446,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...be fine , we will be right with you , there was never a certain time , place or emotion that triggered these attacks . being unable to control when or... - TBS:0.931  (<a href=https://erowid.org/experiences/exp.php?ID=28601#:~:text=be%20fine,%20we,control%20when%20or>URL</a>)"
6653,0,000 - heart - rate - beating,alprazolam,Depressant / sedatives,"...sweat . my thoughts were terrifying and fragmented , my anxiety was at an all time high and strangest of all i felt like my teeth were moving in my mouth... - TBS:0.856  (<a href=https://erowid.org/experiences/exp.php?ID=32964#:~:text=sweat.%20my%20thoughts,in%20my%20mouth>URL</a>)"
6158,0,000 - heart - rate - beating,buprenorphine,Depressant / sedatives,"...could have more but i am weary of doing so , even though my heart rate had gone down very much at all it not as stoning as of codiene not... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=26215#:~:text=could%20have%20more,of%20codiene%20not>URL</a>)"
6070,0,000 - heart - rate - beating,clonazepam,Depressant / sedatives,"...panic attacks nearly every night for DATE DATE . i go to school around lunch time , and leave within two hours due to random onset panic attacks . the panic... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=79353#:~:text=panic%20attacks%20nearly,attacks.%20the%20panic>URL</a>)"
6076,0,000 - heart - rate - beating,clonazepam,Depressant / sedatives,".... when really that was all in my mind . my heart was beating very fast and it was kind if hard to breath . i just laid in bed under... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=55598#:~:text=.%20when%20really,in%20bed%20under>URL</a>)"
6492,0,000 - heart - rate - beating,clonazepam,Depressant / sedatives,"...a bump that i notice there . i feel ill when i think about the time i missing . i personally attribute it to the clonazepam , because i have had... - TBS:0.919  (<a href=https://erowid.org/experiences/exp.php?ID=14174#:~:text=a%20bump%20that,I%20have%20had>URL</a>)"
5999,0,000 - heart - rate - beating,codeine,Depressant / sedatives,"...and i caught myself not breathing at all on a few occasions . an hour passed and so too did the difficulty of breathing , but was replaced instead with some... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=47458#:~:text=and%20I%20caught,instead%20with%20some>URL</a>)"
6000,0,000 - heart - rate - beating,codeine,Depressant / sedatives,"...i could . i noticed two quite amazing things during these hours my heartbeat had slowed down at one point to beat per seconds . i did panic at this point... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=91704#:~:text=i%20could.%20I,at%20this%20point>URL</a>)"
6001,0,000 - heart - rate - beating,codeine,Depressant / sedatives,"...before . breathing became easier , only slightly but noticeably , and my heart had slowed down moreso than before . at this point i noticed my heart was beating at... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=91704#:~:text=before.%20breathing%20became,was%20beating%20at>URL</a>)"
6002,0,000 - heart - rate - beating,codeine,Depressant / sedatives,"..., then looked for people to talk to on by this point , my heartrate slowed down to almost normal levels a falsely promising development but i was still finding it... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=91704#:~:text=,%20then%20looked,still%20finding%20it>URL</a>)"
6004,0,000 - heart - rate - beating,codeine,Depressant / sedatives,"...breathing becoming heavier and heavier , and noticed that i could feel my body any longer , and my breathing was getting frightfully dense . nobody was in the house with... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=91704#:~:text=breathing%20becoming%20heavier,the%20house%20with>URL</a>)"
6020,0,000 - heart - rate - beating,codeine,Depressant / sedatives,"...coming from my torso . it seems to spread to the rest of my body slowly , like a pulse . at the PLACEHOLDER PLACEHOLDER , my heart started to beat... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=90403#:~:text=coming%20from%20my,started%20to%20beat>URL</a>)"
5724,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...again and my heart regained it normal pattern . i went outside for a very slow stroll . but the mental effects were still with me i was a blank ,... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=669#:~:text=again%20and%20my,was%20a%20blank,>URL</a>)"
5728,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...was the cartoon version of tarzan banging on some drums that went at the same pace as my heart . i realized i could slow down my heart rate just by... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=81005#:~:text=was%20the%20cartoon,rate%20just%20by>URL</a>)"
5729,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...soon as i get into bed i begin hearing my heart pumping blood at a rapid speed . all i could think of was the cartoon version of tarzan banging on... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=81005#:~:text=soon%20as%20I,tarzan%20banging%20on>URL</a>)"
5731,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...it would freak me out and then i would get more palpitations and my heart rate kept going way up and way down erratically . i kept taking my oxygen mask... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=93945#:~:text=it%20would%20freak,my%20oxygen%20mask>URL</a>)"
5732,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...there , i was convulsing and mumbling . i had severe palpitations and my heart rate grew erratic and exhausting . the paramedics put me on a gurney and took me... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=93945#:~:text=there,%20I%20was,and%20took%20me>URL</a>)"
5733,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...frantic state i ever been in . i was losing my ability to form words fast . my breathing got even more labored and i kept rocking my body back and... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=93945#:~:text=frantic%20state%20I,body%20back%20and>URL</a>)"
5741,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...corner of my eye . this startles me a little PLACEHOLDER PLACEHOLDER . my heart rate has increased . i also feel slightly nauseous but it is not unbearable . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=55371#:~:text=corner%20of%20my,not%20unbearable.%20i>URL</a>)"
5755,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...the the ride to the hospital was fun , i found out that my heart rate was times above normal and my blood pressure was as well . the lady asked... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=37819#:~:text=the%20the%20ride,the%20lady%20asked>URL</a>)"
5758,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...feeling a bit tingly . a wave of anxiety falls over me and my heart rate increases quite a bit . after about thirty minutes of this i begin to feel... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=110187#:~:text=feeling%20a%20bit,begin%20to%20feel>URL</a>)"
5768,0,000 - heart - rate - beating,diphenhydramine,Depressant / sedatives,"...earlier started saying how fucked up he was . that his heart was beating really fast , and he had trouble breathing . this got me and my friend nervous so... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=57048#:~:text=earlier%20started%20saying,friend%20nervous%20so>URL</a>)"
6309,0,000 - heart - rate - beating,ether,Depressant / sedatives,".... then my blood pressure rose up very high and my heart was ticking intense fast and hard so i began to worry . in about ten minutes everything was back... - TBS:0.983  (<a href=https://erowid.org/experiences/exp.php?ID=57963#:~:text=.%20then%20my,everything%20was%20back>URL</a>)"
5921,0,000 - heart - rate - beating,gabapentin,Depressant / sedatives,"...but i seem to be able to breathe easier , almost like the air flows faster into my total hrs . i find any butane , which is probably a good... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=85757#:~:text=but%20I%20seem,probably%20a%20good>URL</a>)"
5832,0,000 - heart - rate - beating,gbl,Depressant / sedatives,"...for a second and then a wave like a panic attack comes over me so quickly there is no bracing for it . i want this feeling gone , and i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=23693#:~:text=for%20a%20second,gone,%20and%20i>URL</a>)"
5833,0,000 - heart - rate - beating,gbl,Depressant / sedatives,"...that i clammy or that perhaps my body temp is my heart is pounding quite fast or at least it feels like it is i took double zero gel cap at... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=23693#:~:text=that%20I%20clammy,gel%20cap%20at>URL</a>)"
5853,0,000 - heart - rate - beating,gbl,Depressant / sedatives,".... the result was not good at work . i sweated profusely , my heart rate rose to not good for customer service lol . i had pains in my left... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=88485#:~:text=.%20the%20result,in%20my%20left>URL</a>)"
5859,0,000 - heart - rate - beating,gbl,Depressant / sedatives,"...me now that the panic was due to the ORG after taking it for so long , i seem to have convinced myself that i would have these attacks when in...- TBS:1.0  (NO URL)"
5884,0,000 - heart - rate - beating,gbl,Depressant / sedatives,...but smoking a joint within hours of coming off ORG starts up the raised heart rate again . after a further hour of waiting for the pounding to subside i had...- TBS:1.0  (NO URL)
5885,0,000 - heart - rate - beating,gbl,Depressant / sedatives,"...fine indeed happy that i was free of this habit there remained the raised heart rate and while i was very tired i get to after three hours of tossing and... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=81973#:~:text=fine%20indeed%20happy,of%20tossing%20and>URL</a>)"
5865,0,000 - heart - rate - beating,hash,Depressant / sedatives,"...even laughing it off at one point , but the heartbeat would continue to become faster and we retired indoors to one of the bedrooms and i sat on the floor... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=11645#:~:text=even%20laughing%20it,on%20the%20floor>URL</a>)"
5871,0,000 - heart - rate - beating,hash,Depressant / sedatives,"...walked back outside and simply began pacing back and forth . PLACEHOLDER PLACEHOLDER my heart rate and breathing fluctuated rapidly , moving alternately slow and fast . i could not for... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=92785#:~:text=walked%20back%20outside,could%20not%20for>URL</a>)"
5872,0,000 - heart - rate - beating,hash,Depressant / sedatives,"...became indistinguishable from the branches themselves . i walked back inside and naturally my heart rate and breathing increased to an alarming rate . i began to believe there was a... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=92785#:~:text=became%20indistinguishable%20from,there%20was%20a>URL</a>)"
5873,0,000 - heart - rate - beating,hash,Depressant / sedatives,"...onset and lasts he then saw my pulse and said your heart is beating very fast . a little over bpm for some perspective , people die at if sustained long... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=92785#:~:text=onset%20and%20lasts,if%20sustained%20long>URL</a>)"
5876,0,000 - heart - rate - beating,hash,Depressant / sedatives,"...good . this should not be happening and my anxiety made my heart beat even faster . it felt like i was tripping . i was not hallucinating , though .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=3415#:~:text=good.%20this%20should,not%20hallucinating,%20though.>URL</a>)"
6093,0,000 - heart - rate - beating,hash,Depressant / sedatives,"...was controlling my heart beat but the horrid thing was that i thought i was slowing it down to the point where i was sure i was going to stop it... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=11794#:~:text=was%20controlling%20my,to%20stop%20it>URL</a>)"
5829,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...my heartbeat , which reverberated through my skull with an audible force . i was rapidly becoming more lucid as anxiety and a subtle feeling of dread began to overtake my... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=81868#:~:text=my%20heartbeat,%20which,to%20overtake%20my>URL</a>)"
5831,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...got there i had no heartbeat and was nt breathing . all it took was time . i did nt do an extreme or even heavy amount and luckily , my... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=56921#:~:text=got%20there%20I,and%20luckily,%20my>URL</a>)"
5877,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...my idea a trial test , here is my t i take tokes in a time span of minute . before i even exhale , i already start to feel the... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=67167#:~:text=my%20idea%20a,to%20feel%20the>URL</a>)"
5900,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...i was excited to feel the same feeling again . my heart was beating so fast . when he pulled out the same needle i got excited again . when he... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=31268#:~:text=i%20was%20excited,again.%20when%20he>URL</a>)"
6402,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...pretty much when i finally lost it . i have cried about anything for the longest time , but i tell you , it sure felt good shedding some tears finally... - TBS:0.95  (<a href=https://erowid.org/experiences/exp.php?ID=29159#:~:text=pretty%20much%20when,some%20tears%20finally>URL</a>)"
6535,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...ever was . i remember letting out a sigh . i have no idea how long i had been holding my breath . the breath that came out of my mouth... - TBS:0.897  (<a href=https://erowid.org/experiences/exp.php?ID=4671#:~:text=ever%20was.%20I,of%20my%20mouth>URL</a>)"
6734,0,000 - heart - rate - beating,heroin,Depressant / sedatives,"...uneasy , kinda how you feel right before you puke . my breathing and heart rate slowed and moving at all became impossible . my brain endorphin receptors were flooded with... - TBS:0.823  (<a href=https://erowid.org/experiences/exp.php?ID=45513#:~:text=uneasy,%20kinda%20how,were%20flooded%20with>URL</a>)"
5773,0,000 - heart - rate - beating,hydrocodone,Depressant / sedatives,"...me right t feeling even better but itchiness is getting a little worse . reaction time is slower . heart is beating a bit faster , but i have this peacefulness... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=73829#:~:text=me%20right%20t,have%20this%20peacefulness>URL</a>)"
5782,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...realized this was too much . i did panic or anything like that my heart rate was normal i felt like i had eaten too many brownies pot brownies . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=86738#:~:text=realized%20this%20was,pot%20brownies.%20i>URL</a>)"
5791,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...about minutes later when all hell broke i started to feel my heart beat very fast and out of control . i got really scared because i never tried anything like... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=98906#:~:text=about%20minutes%20later,tried%20anything%20like>URL</a>)"
5800,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...and leaning my head on the wall staring down the grout lines to try to steady my vision anxiety is increased . at this point i also feel my heart or... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84724#:~:text=and%20leaning%20my,my%20heart%20or>URL</a>)"
5802,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...i also feel my heart or so i thought explained below starting to increase very rapidly , along with the rocking speed that i feeling as well . so i dry... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84724#:~:text=i%20also%20feel,so%20I%20dry>URL</a>)"
5825,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...m feeling the effects of something coming on . i start to come up much quicker than expected . my blood pressure and heart rate skyrocket to crazy levels . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=86299#:~:text=m%20feeling%20the,crazy%20levels.%20i>URL</a>)"
5943,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...my room at this point and down in my big armchair , and try to slow my heart rate down with some breathing exercise to force myself to breathe slower .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84724#:~:text=my%20room%20at,to%20breathe%20slower.>URL</a>)"
5944,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...my surroundings to bring myself down from this , but to little avail . i slowed my heart rate down slightly , as well as my breathing , but it quickened... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84724#:~:text=my%20surroundings%20to,but%20it%20quickened>URL</a>)"
5945,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...my blood pressure twice , and to great surprise , my blood pressure and heart rate are perfectly normal . both of the readings were pulse pulse . that is a... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=84724#:~:text=my%20blood%20pressure,that%20is%20a>URL</a>)"
6008,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...i like to keep a little in an in my pocket for emergencies . any time i get a panic attack , unable to focus or get anything done , just... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=89687#:~:text=i%20like%20to,anything%20done,%20just>URL</a>)"
6015,0,000 - heart - rate - beating,jwh-018,Depressant / sedatives,"...what was happening , and i was absolutely certain i was dying . my heart rate shot up to as apposed to the normal and my chest would hurt . it... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=88642#:~:text=what%20was%20happening,,would%20hurt.%20it>URL</a>)"
6075,0,000 - heart - rate - beating,leonotis leonurus,Depressant / sedatives,"...of caution and visited the hospital . initially i had a higher than normal heart rate , but that soon returned to normal . i returned home and attempted to go... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=82431#:~:text=of%20caution%20and,attempted%20to%20go>URL</a>)"
6081,0,000 - heart - rate - beating,lorazepam,Depressant / sedatives,"...to be heard as i am still able to write the body is heavy , slower and slightly uncoordinated . it takes deliberateness to complete a bodily action . pulse rate... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=79764#:~:text=to%20be%20heard,action.%20pulse%20rate>URL</a>)"
6083,0,000 - heart - rate - beating,lorazepam,Depressant / sedatives,"...it takes deliberateness to complete a bodily action . pulse rate is . breathing feels slow at becoming distracted with other things on the internet . feeling some pressure in my... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=79764#:~:text=it%20takes%20deliberateness,pressure%20in%20my>URL</a>)"
6092,0,000 - heart - rate - beating,lorazepam,Depressant / sedatives,"...hospital , where i was triaged , weighed , and put in a room to pace and try and calm eventually they came around , did an ekg , drew blood... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=52716#:~:text=hospital,%20where%20I,ekg,%20drew%20blood>URL</a>)"
6049,0,000 - heart - rate - beating,melatonin,Depressant / sedatives,"...feeling , craving sleep . i decided to get ready for bed and lie heart rate feels like it is increasing , i am very tired but i can not close... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=63694#:~:text=feeling,%20craving%20sleep.,can%20not%20close>URL</a>)"
6484,0,000 - heart - rate - beating,melatonin,Depressant / sedatives,"...on my my heart is really pounding in my chest right now . it so fast . strange hallucinations from the corner of my eye . nothing too vivid , just... - TBS:0.923  (<a href=https://erowid.org/experiences/exp.php?ID=109001#:~:text=on%20my%20my,too%20vivid,%20just>URL</a>)"
6508,0,000 - heart - rate - beating,melatonin,Depressant / sedatives,"...had gone away , i laid there and felt relatively calm , my heart was slowed down . then out of nowhere it rose up , my heart was pounding ,... - TBS:0.91  (<a href=https://erowid.org/experiences/exp.php?ID=108218#:~:text=had%20gone%20away,,heart%20was%20pounding,>URL</a>)"
5978,0,000 - heart - rate - beating,methadone,Depressant / sedatives,"...into a thought pattern where i started monitoring my own breathing , convinced it was slower than usual and trying to measure my pulse and so on . the more i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=19128#:~:text=into%20a%20thought,the%20more%20i>URL</a>)"
5522,0,000 - heart - rate - beating,mitragyna speciosa,Depressant / sedatives,"...good to lie feeling much more mellow . my heart seems to speed up and slow down occasionally , but nothing that a cup of coffee do . i really want... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=48442#:~:text=good%20to%20lie,I%20really%20want>URL</a>)"
5523,0,000 - heart - rate - beating,mitragyna speciosa,Depressant / sedatives,"...edge to it . i think go inside and read a book . my heart rate is slightly increased . time to lay down and enjoy the upping . i had... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=48442#:~:text=edge%20to%20it.,upping.%20I%20had>URL</a>)"
5526,0,000 - heart - rate - beating,mitragyna speciosa,Depressant / sedatives,"...of at around five minutes in i start to feel somewhat uncomfortable , my heart rate increases slightly and i become very aware of a heavy , hazy feeling that is... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=107259#:~:text=of%20at%20around,feeling%20that%20is>URL</a>)"
